,composer_id,dob,first_name,last_name
97,98,NaN,,Acaen
98,99,NaN,Vincenzo,Acampora
99,100,1637,Filippo,Acciaiuoli
100,101,1833,Jean,Accolay
101,102,1739,Agostino,Accorimboni
102,103,NaN,Cesare,Acelli
103,104,1863,Remigio,Guajardo
104,105,1837,Rafael,Lozano
105,106,1886,Joseph,Achron
106,107,1891,Isidor,Achron
107,108,1777,Ulrich,Achter
108,109,1953,Jan,Achterkamp
109,110,1940,Dieter,Acker
110,111,NaN,Armand,Ackerfeld
111,112,NaN,d',Acosta
112,113,1829,Carlo,Acton
113,114,1952,Lee,Actor
114,115,1953,Selman,Ada
115,116,1846,Ella,Adayevskaya
116,117,NaN,,Prague
117,118,1826,Marcial,Gurrea
118,119,1770,Charles,Adam
119,120,1792,Jean,Adam
120,121,NaN,Jean,Adam
121,122,1806,Karl,Adam
122,123,1817,Joseph,Adam
123,124,1803,Adolphe-Charles,Adam
124,125,1705,Johann,Adam
125,126,1896,Jenö,Adam
126,127,NaN,Erasmus,Adam
127,128,1758,Louis,Adam
128,129,1904,Frédéric,Adam
129,130,1873,Maria,Arostegui
130,131,NaN,,Victor
131,132,NaN,,Adamer
132,133,1716,Ernest,Adami
133,134,1663,Andrea,Bolsena
134,135,1877,Emil,Adamic
135,136,1929,Michael,Adamis
136,137,1962,Mark,Adamo
137,138,1966,Daniel,Adamo
138,139,NaN,A.,Adams
139,140,1953,John,Adams
140,141,NaN,Abraham,Adams
141,142,1947,John,Adams
142,143,1844,Stephen,Adams
143,144,NaN,James,Adams
144,145,NaN,,Adams
145,146,1785,Thomas,Adams
146,147,1932,"Leslie,",Adams
147,148,NaN,Vicente,Adan
148,149,1975,Judah,Adashi
149,150,1905,Murray,Adaskin
150,151,1846,Ella,Adayevskaya
151,152,1778,Jacques,Adcock
152,153,1960,Mark,Adderley
153,154,NaN,,Addi
154,155,1904,Richard,Addinsell
155,156,1920,John,Addison
156,157,1766,John,Addison
157,158,1936,Obo,Addy
158,159,NaN,,Adelbold
159,160,1830,August,Abramović
160,161,1971,Thomas,Adès
161,162,1812,Abel,Adhemar
162,163,1935,Vasif,Adigezalov
163,164,1921,Richard,Adler
164,165,1789,Gyorgy,Adler
165,166,1806,Georg,Adler
166,167,1928,Samuel,Adler
167,168,1914,Larry,Adler
168,169,1729,Anton,Adlgasser
169,170,1721,Andrea,Adolfati
170,171,NaN,Karl,Adolfi
171,172,1955,Bruce,Adolphe
172,173,1905,Lan,Adomian
173,174,1903,Theodor,Adorno
174,175,1966,Peter,Adriaansz
175,176,1554,Emmanuel,Adriaenssen
176,177,1539,Francesco,Adriani
177,178,1944,Adriano,Adriano
178,179,1766,Martin-Joseph,Adrien
179,180,NaN,Ferdinand,Adrien
180,181,1767,N.,Adrien
181,182,NaN,John,Adson
182,183,NaN,G.,Curan
183,184,1770,Georges,Aelsters
184,185,1822,Egide,Aerts
185,186,1910,Walther,Aeschbacher
186,187,1917,Niklaus,Aeschbacher
187,188,NaN,Kurt,Aeschbacher
188,189,1921,Leonid,Afanasyev
189,190,1821,Nicolas,Afanasiev
190,191,1921,Leonid,Afanasyev
191,192,NaN,,Afat
192,193,NaN,Hugo,Affermi
193,194,1940,Arkady,Agababov
194,195,1578,Agostino,Agazzari
195,196,NaN,Gaetano,Agazzi
196,197,1946,Klaus,Ager
197,198,1893,Milton,Ager
198,199,NaN,Andrew,Ager
199,200,1889,Aksel,Agerby
200,229,1969,Thomas,Olesen
201,230,1855,Karoly,Agghazy
202,231,1810,Rocco,Aggiutorio
203,232,NaN,,Agius
204,233,NaN,,Agliati
205,234,1604,Filippo,Aglie
206,235,NaN,Alessandro,Aglione
207,236,1969,Joakim,Agnas
208,237,NaN,E.,Agnel
209,238,NaN,Giovanni,Agneletti
210,239,1610,Lorenzo,Agnelli
211,240,1817,Salvatore,Agnelli
212,241,1961,Udo,Agnesens
213,242,1833,"Luigi,",Agnesi
214,243,1720,Maria,Pinottini
215,244,1891,Roy,Agnew
216,245,1967,Elaine,Agnew
217,246,1833,Louis,Agniez
218,247,1833,"Luigi,",Agnesi
219,248,1856,Emil,Agniez
220,249,NaN,D.,Agnola
221,250,1968,Jean-Louis,Agobet
222,251,1950,Leïla,Agolli
223,252,1953,Vladimir,Agopov
224,253,1901,Guido,Agosti
225,254,1875,Mezio,Agostini
226,255,NaN,Agostino,Agostini
227,256,1534,Lodovico,Agostini
228,257,1583,Paolo,Agostini
229,258,1635,Pietro,Agostini
230,259,1701,Johan,Agrell
231,260,1838,Dmitri,Agreniev-Slavianski
232,261,NaN,Giovanni,Agresta
233,262,1575,Agostino,Agresta
234,263,1443,"Rudolph,",Agricola
235,264,1446,Alexander,Agricola
236,265,1486,Martin,Agricola
237,266,1638,Johann,Agricola
238,267,1600,Wolfgang,Agricola
239,268,NaN,Johannes,Agricola
240,269,1643,Georg,Agricola
241,270,1720,Johann,Agricola
242,271,1443,"Rudolph,",Agricola
243,272,1819,Albert,Agthe
244,273,1762,Carl,Agthe
245,274,1790,Albrecht,Agthe
246,275,1784,Dionisio,Aguado
247,276,1945,Graciela,Agudela
248,277,1950,Ernani,Aguiar
249,278,NaN,Alexandre,Aguiar
250,279,1957,Miguel,Aguila
251,280,1824,Emanuel,Aguilar
252,281,1565,Sebastián,Heredia
253,282,1868,Julián,Aguirre
254,283,1961,Pablo,Aguirre
255,284,1838,Avelino,Lizaola
256,285,1725,Giuseppe,Agus
257,286,1749,Joseph,Agus
258,287,1940,Coriún,Aharonián
259,288,1947,David,Ahern
260,289,1625,Johann,Ahle
261,290,1651,Johann,Ahle
262,291,1892,Fred,Ahlert
263,292,1927,David,Ahlstrom
264,293,1805,Jacob,Ahlstrom
265,294,1957,Harri,Ahmas
266,295,1949,Kalevi,Aho
267,296,NaN,Ludwig,Ahregen
268,297,1904,Karl,Ahrendt
269,298,1904,Joseph,Ahrens
270,299,1936,Siegelinde,Ahrens
271,300,1779,Johann,Aiblinger
272,301,NaN,,Aichelburg
273,302,1959,Oskar,Aichinger
274,303,1565,Gregor,Aichinger
275,304,1952,Andreas,Aigmuller
276,305,1798,Engelbert,Aigner
277,306,1857,William,Aiken
278,307,NaN,Jesse,Aikin
279,308,1886,Vojtech,Aim
280,309,1754,Esprit,Aimon
281,310,1779,(Pamphile,Aimon
282,311,NaN,,Airoldi
283,312,1882,George,Aitken
284,313,1924,Hugh,Aitken
285,314,1939,Robert,Aitken
286,315,1939,Alojz,Ajdic
287,316,1860,Erik,Akerberg
288,317,NaN,Samuel,Akeroyde
289,318,1923,Doris,Akers
290,319,1876,Feodor,Akimenko
291,320,1876,Pietari,Akimov
292,321,NaN,,Akin
293,322,1929,Toshiko,Akiyoshi
294,323,1932,Samuel,Akpabot
295,324,1886,Joseph,Achron
296,325,1908,Necil,Akses
297,326,1894,Harry,Akst
298,327,1959,Mehmet,Aktug
299,328,1925,Yasushi,Akutagawa
300,329,1920,"Salim,",Nur
301,330,1598,Giovanni,Ala
302,331,1783,Alexander,Alabiev
303,332,1783,Alexander,Alabiev
304,333,1890,Nikolaï,Aladov
305,334,NaN,David,Alagna
306,335,NaN,Roberto,Alagna
307,336,1963,Jean,Alagna
308,337,1880,Albert,Alain
309,338,1911,Jehan-Ariste,Alain
310,339,1918,Olivier,Alain
311,340,NaN,,Alaire
312,341,1881,Domenico,Alaleona
313,342,NaN,Johannes,Alamani
314,343,1470,Petrus,Alamire
315,344,NaN,Lazaro,Alamo
316,345,1924,Ernest,Tomlinson
317,346,NaN,Johannes,Alanus
318,347,1815,Delphin,Alard
319,348,NaN,Simon,Alard
320,349,1515,Jacques,Alardy
321,350,NaN,,Alari
322,351,NaN,A.F.,Alary
323,352,1814,Giulio,Alary
324,353,1850,Georges,Alary
325,354,NaN,Nino,Alassio
326,355,1687,Mauro,Alay
327,356,NaN,,Alba
328,357,NaN,Pedro,Alba
329,358,1893,Guido,Albanese
330,359,1729,Antoine,Albanese
331,360,NaN,Marcello,Albano
332,361,NaN,Marcian,Albareda
333,362,NaN,Damon,Albarn
334,363,1982,Yusuf,Albasri
335,364,1860,Isaac,Albéniz
336,365,1795,Pedro,Albéniz
337,366,1517,Pere,Vila
338,367,1949,Eleanor,Alberga
339,368,1663,Count,Albergati
340,369,1600,Bernardino,Alberghetti
341,370,1758,Ignazio,Alberghi
342,371,1716,Paolo,Alberghi
343,372,NaN,Pierre,Alberici
344,373,NaN,Nicola,Alberini
345,374,NaN,J.,Albers
346,375,1941,Stephen,Albert
347,376,NaN,G.,Albert
348,377,1823,Emile,Albert
349,378,1604,Heinrich,Albert
350,379,NaN,Valentin,Albert
351,380,1948,Thomas,Albert
352,381,1870,Heinrich,Albert
353,382,NaN,Boubée,Albert
354,383,1901,Karel,Albert
355,384,1809,Charles,Albert
356,385,NaN,Maitre,Albert
357,386,NaN,,Paris
358,387,1819,,Saxe-Cobourg
359,388,1783,Alexandre,Albertazzi
360,389,NaN,,Sestaro
361,390,NaN,Nino,Alberti
362,391,1642,Johann,Alberti
363,392,NaN,Chrétien-Ernest-Rodolphe,Alberti
364,393,NaN,Francesco,Alberti
365,394,1685,Giuseppe,Alberti
366,395,NaN,Lodovico,Alberti
367,396,1480,Gasparo,Alberti
368,397,NaN,Comte,Alberti
369,398,NaN,Pietro,Alberti
370,399,1844,Ferruccio,Alberti
371,400,1710,Domenico,Alberti
372,401,1736,Alfons,Albertin
373,402,1644,Ignazio,Albertini
374,403,1748,Gioacchino,Albertini
375,404,1660,Thomas,Albertini
376,405,NaN,,Milano
377,406,NaN,,Montavano
378,407,1959,Armeno,Alberts
379,408,1919,Per,Albertsen
380,409,1971,Sef,Albertz
381,410,NaN,,Albesby
382,411,1670,Enrico,Albicastro
383,412,1869,Srecko,Albini
384,413,NaN,Vincenzo,Albini
385,414,NaN,Francesco,Albini
386,415,1982,Giovanni,Albini
387,416,1580,Filippo,Albini
388,417,1671,Tomaso,Albinoni
389,418,NaN,Mario,Albioso
390,419,1701,Jean,Albrecht
391,420,1890,Max,Albrecht
392,421,1891,Georg,Albrecht
393,422,1885,Alexander,Albrecht
394,423,1807,Karl,Albrecht
395,424,1844,Ludwig,Albrecht
396,425,1732,Johann,Albrecht
397,426,1898,,Hohenzollern
398,427,1736,Johann,Albrechtsberger
399,428,1640,Bartolomeo,Albrici
400,457,1631,Vincenzo,Albrici
401,458,1944,William,Albright
402,459,NaN,Anne,Albritton
403,460,NaN,Mark,Alburger
404,461,NaN,Giovanni,Albuzio
405,462,NaN,Giovanni,Alcala
406,463,1949,Guy,Alcalay
407,464,1941,Luna,Alcalay
408,465,1536,Giovanni,Alcarotto
409,466,1788,José,Alcedo
410,467,1972,Daniel,Alcheh
411,468,1898,Arnold,Alchvang
412,469,1740,John,Alcock
413,470,1715,John,Alcock
414,471,1861,Walter,Alcock
415,472,1805,Amancio,Alcorta
416,473,1758,José,Aldana
417,474,1800,Francisque,Alday
418,475,1761,François,Alday
419,476,1763,Paul,Alday
420,477,1830,Ferdinand,Alday
421,478,1497,Cosmas,Alder
422,479,NaN,Cosme,Alderinus
423,480,NaN,,Aldhelm
424,481,NaN,,Aldieri
425,482,NaN,Pedro,Aldomar
426,483,1648,Henry,Aldrich
427,484,1954,Robert,Aldridge
428,485,1886,Amanda,Aldridge
429,486,1648,Henry,Aldridge
430,487,1673,Giuseppe,Aldrovandini
431,488,1952,Eugénie,Alecian
432,489,1883,Aleksandr,Aleksandrov
433,490,1937,Eduard,Alekseyev
434,491,1922,Eduardo,Alemann
435,492,1907,Kourkène,Alemshah
436,493,1570,"Raffaella,",Aleotti
437,494,1573,Vittoria,Aleotti
438,495,NaN,Brian,Ales
439,496,1893,Alfred,Alessandrescu
440,497,1747,Felice,Alessandri
441,498,NaN,Giulio,Alessandri
442,499,1736,Louis,Alessandro
443,500,NaN,Michele,Alessandro
444,501,1911,Raffaele,Alessandro
445,502,NaN,Gennaro,Alessandro
446,503,NaN,,Mantovano
447,504,NaN,Padovano,Padovano
448,505,NaN,,Romano
449,506,NaN,Jean,Alessi
450,507,NaN,S.,Alessio
451,508,1916,James,Alexander
452,509,1955,Kathryn,Alexander
453,510,NaN,Joseph,Alexander
454,511,NaN,Meister,Alexander
455,512,1958,Joe,Alexander
456,513,1877,Russell,Alexander
457,514,1863,Friedrich,Alexander
458,515,1915,Haim,Alexander
459,516,1905,Francis,Chagrin
460,517,1924,"Leni,",Polack
461,518,NaN,,Symphoniarca
462,519,1919,Lex,Delden
463,520,1886,Helmer,Alexandersson
464,521,1947,Liana,Alexandra
465,522,1735,Charles,Alexandre
466,523,1888,Anatoly,Alexandrov
467,524,1905,Boris,Alexandrov
468,525,1881,Diran,Alexanian
469,526,1933,Mikhaïl,Alexeiev
470,527,1937,Eduard,Alekseyev
471,528,1960,Minas,Alexiadis
472,529,1928,Carl,Alexius
473,530,NaN,,Aleyn
474,531,1875,Franco,Alfano
475,532,1630,Giuseppe,Alfiero
476,533,1913,Nicolas,Alfonso
477,534,1904,Javier,Alfonso
478,535,1881,Kenneth,Alford
479,536,1872,Hugo,Alfvén
480,537,1890,Léon,Algazi
481,538,NaN,François,Algermann
482,539,1666,Paris,Alghisi
483,540,1947,Franghiz,Ali-Zadeh
484,541,1762,Francesco,Aliani
485,542,1788,Luigi,Aliani
486,543,NaN,Grigorios,Aliatis
487,544,NaN,André,Alifax
488,545,NaN,,Alimenti
489,546,1830,"Charlotte,",Barnard
490,547,1790,Joseph,Alinovi
491,548,1862,Francisco,Brea
492,549,1640,Bonaventura,Aliotti
493,550,1710,Bernardo,Aliprandi
494,551,1747,Bernardo,Aliprandi
495,552,1931,Román,Alís
496,553,1548,Jeronimo,Aliseda
497,554,NaN,Santos,Aliseda
498,555,1592,Richard,Alison
499,556,NaN,Luis,Alius
500,557,1907,René,Alix
501,558,1813,Charles-Valentin,Alkan
502,559,1826,Napoléon,Alkan
503,560,1841,Geza,Allaga
504,561,1965,Richard,Allain
505,562,1921,Douglas,Allanbrook
506,563,1943,Alejandro,Allauca
507,564,NaN,Terence,Allbright
508,565,NaN,Nigel,Allcoat
509,566,1897,Salvatore,Allegra
510,567,1573,Lorenzo,Allegri
511,568,1585,Domenico,Allegri
512,569,1582,Gregorio,Allegri
513,570,NaN,Jean,Allegri
514,571,1768,D.Phillipe,Allegri
515,572,1809,Henry,Allen
516,573,1883,Paul,Allen
517,574,1856,Georg,Allen
518,575,1822,George,Allen
519,576,1876,Thomas,Allen
520,577,1837,Charles,Allen
521,578,1928,Juan,Allende-Blin
522,579,1885,Pedro,Allende-Saron
523,580,1603,Giuseppe,Allevi
524,581,1920,Claude,Allgen
525,582,1863,Gabriel,Allier
526,583,1952,Kristi,Allik
527,584,1848,Frances,Allitsen
528,585,1925,Pietro,Allori
529,586,NaN,Adrien,Allou
530,587,1825,Martin,Allu
531,588,1877,Samuel,Alman
532,589,1893,Norberto,Almandoz
533,590,1806,,Almasia
534,591,1600,Fernando,Almeida
535,592,1760,Inacio,Almeida
536,593,1952,Antonio,Almeida
537,594,NaN,Antonio,Almeida
538,595,1917,Laurindo,Almeida
539,596,NaN,Carlos,Almeida
540,597,NaN,Ruth,Almen
541,598,1786,Carl,Almenraeder
542,599,1629,Giovanni,Almeri
543,600,NaN,Giuseppe,Rimini
544,601,1953,Atso,Almila
545,602,NaN,Pere,Almodar
546,603,NaN,Juan,Almorox
547,604,1793,Carl,Almqvist
548,605,1927,André,Almuró
549,606,1906,Hasan,Alnar
550,607,1872,Eyvind,Alnæs
551,608,1860,Vladislav,Alois
552,609,NaN,Giovanni,Aloisi
553,610,1871,Daniel,Robles
554,611,1981,Aaron,Alon
555,612,1887,Francisco,Alonso
556,613,1475,,Alonso
557,614,1925,Miguel,Gómez
558,615,1956,Eduardo,Alonso-Crespo
559,616,1930,Yardena,Alotin
560,617,1876,Flor,Alpaerts
561,618,NaN,David,Alpher
562,619,1221,,Sage
563,620,NaN,François,Alquen
564,621,1867,Maurice,Alquier
565,622,NaN,Alexis,Alrich
566,623,1879,Joseph,Alschausky
567,624,1804,Wilhelm,Alsdorf
568,625,1941,Carlos,Alsina
569,626,1942,Birgitte,Alsted
570,627,1882,Egbert,Alstyne
571,628,1957,Claudio,Alsuyet
572,629,NaN,,Alt
573,630,1903,Bernhard,Alt
574,631,NaN,Francesco,Altavilla
575,632,NaN,Faustino,Altemps
576,633,NaN,Marten,Altena
577,634,1584,Michael,Altenburg
578,635,1734,Johann,Altenburg
579,636,1904,Martha,Alter
580,637,1901,Israël,Alter
581,638,1945,Bjorn,Alterhaug
582,639,1826,Joseph,Altes
583,640,1830,Ernest,Altes
584,641,1883,Karl,Althén
585,642,1745,Paolo,Altieri
586,643,1956,Laurie,Altman
587,644,1862,Wilhelm,Altmann
588,645,1720,Johann,Altnikol
589,646,1873,Modeste,Altschuler
590,647,NaN,Juan,Mascarua
591,648,1962,Boris,Alvarado
592,649,1570,Diego,Alvarado
593,650,1956,Javier,Alvarez
594,651,NaN,Guillermo,Alvarez
595,652,1833,Fermin,Alvarez
596,653,NaN,Bernardo,Acevo
597,654,1893,Nicolas,Solar-Quintes
598,655,1960,Maria,Alvear
599,656,NaN,Agibhard,Alvensleben
600,685,NaN,Giovanni,Alveri
601,686,1722,Sebastián,Añaños
602,687,NaN,José,Alves
603,688,1906,Berta,Sousa
604,689,NaN,Richard,Alwood
605,690,1922,Doreen,Carwithen
606,691,1905,William,Alwyn
607,692,1943,Maryanne,Amacher
608,693,1703,Ladislas,Amade
609,694,1783,Thaddeus,Amade
610,695,NaN,Filippo,Amadei
611,696,NaN,Michelangelo,Amadei
612,697,NaN,Roberto,Amadei
613,698,1670,Giuseppe,Amadori
614,699,1640,Catharina,Amalia
615,700,1794,Marie,Amalie
616,701,1920,Achmet,Amanbaiev
617,702,1872,Nikolaï,Amani
618,703,1834,Vincent,Amann
619,704,1972,Pedro,Amaral
620,705,1950,Joan,Amargos
621,706,1814,Léopold,Amat
622,707,1629,Vincenzo,Amato
623,708,1868,Paolo,Amatucci
624,709,1846,Johann,Amberg
625,710,1666,Miguel,Ambiela
626,711,NaN,Charles,Ambleville
627,712,1454,"Angelo,",Poliziano
628,713,1816,August,Ambros
629,714,1890,Vladimir,Ambros
630,715,1754,Joseph,Ambrosch
631,716,NaN,John,Ambrose
632,717,NaN,,Ambrose
633,718,0339,Saint,Ambrose
634,719,1931,Alearco,Ambrosi
635,720,1948,Claudio,Ambrosini
636,721,NaN,Giovanni,Ambrosio
637,722,NaN,Giacomo,Ambrosio
638,723,1897,Hermann,Ambrosius
639,724,1754,Joseph,Ambrosch
640,725,NaN,Honoré,Ambruis
641,726,1942,Magne,Amdahl
642,727,1784,François,Amedee
643,728,1912,André,Ameller
644,729,NaN,Alejandro,Amenabar
645,730,1922,Juan,Ruiz
646,731,1750,Giuseppe,Amendola
647,732,1917,Ugo,Amendola
648,733,1911,René,Amengual
649,734,1535,Bernhard,Amenreich
650,735,1860,John,Ames
651,736,1534,Christian,Ameyden
652,737,1901,Daniele,Amfitheatrof
653,738,1873,Georg,Amft
654,739,NaN,Leonardo,Amicis
655,740,NaN,Raimondo,Amico
656,741,1740,Antonio,Amicone
657,742,NaN,Giovanni,Amigione
658,743,NaN,,Amilha
659,744,1718,Jean,Amiot
660,745,1936,Nahum,Amir
661,746,1909,"Emanuel,",Amiran-Pougatchov
662,747,1922,Fikret,Amirov
663,748,1934,Lotti,Amit-Kalev
664,749,1953,Martin,Amlin
665,750,1886,Guy,Ammandt
666,751,1962,Dieter,Ammann
667,752,1530,Elias,Ammerbach
668,753,1515,"Conrad,",Praetorius
669,754,1540,Wolfgang,Ammon
670,755,NaN,Dietrich,Ammon
671,756,NaN,,Amn
672,757,1579,John,Amner
673,758,1649,Cataldo,Amodei
674,759,1560,Blasius,Amon
675,760,1763,Johannes,Amon
676,761,NaN,Ernest,Amon
677,762,1963,Eugénio,Amorim
678,763,1770,Don,Ondeano
679,764,NaN,Charles,Amouroux
680,765,NaN,Louis,Amouroux
681,766,1930,David,Amram
682,767,1951,Paul,Amrod
683,768,1881,Robert,Amson
684,769,NaN,Prosper,Amtmann
685,770,1936,Gilbert,Amy
686,771,1460,Francesco,Ana
687,772,1790,August,Anacker
688,773,NaN,Spirito,Anagnino
689,774,1934,Pierre,Ancelin
690,775,1800,Joseph,Ancessy
691,776,1462,Juan,Anchieta
692,777,1410,José,Anchorena
693,778,1545,Giovanni,Ancina
694,779,1880,Charles,Ancliffe
695,780,1943,Solange,Ancona
696,781,1779,Jean,Ancot
697,782,1799,Jean,Ancot
698,783,1803,Louis,Ancot
699,784,NaN,,Andelhof
700,785,1914,Carl,Anderberg
701,786,1892,Ferdinand,Andergassen
702,787,1930,Günther,Andergassen
703,788,NaN,Q.,Anderl
704,789,1657,Hendrik,Anders
705,790,NaN,Hans,Anders
706,791,1883,Erich,Anders
707,792,1847,Karl,Andersen
708,793,1890,Johannes,Andersen
709,794,1903,Karl,Andersen
710,795,1845,Anton,Andersen
711,796,1973,Martin,Andersen
712,797,1914,Eyvin,Andersen
713,798,1859,Sophus,Andersen
714,799,1900,Kai,Andersen
715,800,1963,Bo,Andersen
716,801,1829,Fritz,Andersen
717,802,1953,Avril,Anderson
718,803,1950,Beth,Anderson
719,804,1947,Laurie,Anderson
720,805,1928,Ruth,Anderson
721,806,1928,Thomas,Anderson
722,807,1882,William,Anderson
723,808,1935,Barry,Anderson
724,809,1962,William,Anderson
725,810,NaN,James,Anderson
726,811,1958,Stefan,Anderson
727,812,NaN,John,Anderson
728,813,1908,Leroy,Anderson
729,814,1934,Robert,Anderson
730,815,1970,Joseph,Anderson
731,816,1946,Benny,Anderson
732,817,1967,Julian,Anderson
733,818,NaN,Martha,Anderson
734,819,1887,Alfred,Anderssen
735,820,1876,Frithjov,Anderssen
736,821,1851,Richard,Andersson
737,822,NaN,Benny,Andersson
738,823,NaN,Per,Andersson
739,824,1964,Tommy,Andersson
740,825,NaN,J.M.,Anding
741,826,1830,Ignace,Andlauer
742,827,NaN,Darija,Andovska
743,828,1793,Jean,Andrade
744,829,1917,Tibor,Andrašovan
745,830,1893,Franz,André
746,831,1741,Johann,André
747,832,1775,Johann,Andre
748,833,1765,Charles,Andre
749,834,1808,Julius,Andre
750,835,1823,Jean,Andre
751,836,1964,Marc,Andre
752,837,NaN,Auguste,Andre
753,838,1964,Mark,Andre
754,839,1964,Mark,Andre
755,840,1933,Maurice,André
756,841,NaN,,Crète
757,842,1959,,Andre-Forner
758,843,NaN,Carolus,Andreae
759,844,1879,Volkmar,Andreae
760,845,NaN,Eveline,Andreani
761,846,NaN,,Florentia
762,847,1841,Elfrida,Andrée
763,848,1835,Guglielmo,Andreoli
764,849,1840,Carlo,Andreoli
765,850,1862,Guglielmo,Andreoli
766,851,NaN,Giovanni,Andreoli
767,852,NaN,Alessandro,Andreoli
768,853,NaN,Roberto,Andreoni
769,854,1755,Gaetano,Andreozzi
770,855,1941,Bernard,Andres
771,856,1858,Olina,Andresdottir
772,857,1945,Mogens,Andresen
773,858,NaN,Francesco,Andreu
774,859,1786,Francisco,Castellar
775,860,1904,Herbert,Andrews
776,861,1933,Iosif,Andriasov
777,862,1894,Mihail,Andricu
778,863,1798,Jean,Andries
779,864,1887,Willem,Andriessen
780,865,1892,Hendrik,Andriessen
781,866,1939,Louis,Andriessen
782,867,1925,Jurriaan,Andriessen
783,868,1894,Mihail,Andrieu
784,869,NaN,François,Andrieu
785,870,1863,Fernand,Andrieu
786,871,NaN,,Contredit
787,872,1971,Dimitris,Andrikopoulos
788,873,1963,Peter,Androsch
789,874,1781,Albert,Androt
790,875,1880,Andrzej,Andrzejowski
791,876,NaN,Barthélémy,Aneau
792,877,NaN,Angelo,Anelli
793,878,1560,Felice,Anerio
794,879,1567,Giovanni,Anerio
795,880,1676,Jean,Anet
796,881,1727,Pasquale,Anfossi
797,882,NaN,Ludwig,Angeber
798,883,NaN,Giuseppe,Angeleri
799,884,1797,Charles,Angelet
800,913,1632,Francesco,Angeli
801,914,1868,Andrea,Angeli
802,915,NaN,Orazio,Angelini
803,916,1624,Giovanni,Bontempi
804,917,NaN,Angelo,Angelis
805,918,NaN,Arthur,Angelis
806,919,NaN,Teofilo,Angelis
807,920,1955,Nuccio,Angelo
808,921,1899,Gioacchino,Angelo
809,922,1834,Carlo,Angeloni
810,923,1783,Louis,Angely
811,924,1813,"Ludwig,",Anger
812,925,1927,Paul,Angerer
