countyname,FIPS
La Cañada Flintridge city,06000
Lafayette city,06000
Laguna Beach city,06000
Laguna Hills city,06000
Laguna Niguel city,06000
Laguna Woods city,06000
La Habra city,06000
La Habra Heights city,06000
Lake Elsinore city,06000
Lake Forest city,06000
Lakeport city,06000
Lakewood city,06000
La Mesa city,06000
La Mirada city,06000
Lancaster city,06000
La Palma city,06000
La Puente city,06000
La Quinta city,06000
Larkspur city,06000
Lathrop city,06000
La Verne city,06000
Lawndale city,06000
Lemon Grove city,06000
Lemoore city,06000
Lincoln city,06000
Lindsay city,06000
Live Oak city,06000
Livermore city,06000
Livingston city,06000
Lodi city,06000
Loma Linda city,06000
Lomita city,06000
Lompoc city,06000
Long Beach city,06000
Loomis town,06000
Los Alamitos city,06000
Los Altos city,06000
Los Altos Hills town,06000
Los Angeles city,06000
Los Banos city,06000
Los Gatos town,06000
Loyalton city,06000
Lynwood city,06000
McFarland city,06000
Madera city,06000
Malibu city,06000
Mammoth Lakes town,06000
Manhattan Beach city,06000
Manteca city,06000
Maricopa city,06000
Marina city,06000
Martinez city,06000
Marysville city,06000
Maywood city,06000
Mendota city,06000
Menifee city,06000
Menlo Park city,06000
Merced city,06000
Millbrae city,06000
Mill Valley city,06000
Milpitas city,06000
Mission Viejo city,06000
Modesto city,06000
Monrovia city,06000
Montague city,06000
Montclair city,06000
Montebello city,06000
Monterey city,06000
Monterey Park city,06000
Monte Sereno city,06000
Moorpark city,06000
Moraga town,06000
Moreno Valley city,06000
Morgan Hill city,06000
Morro Bay city,06000
Mountain View city,06000
Mount Shasta city,06000
Murrieta city,06000
Napa city,06000
National City city,06000
Needles city,06000
Nevada City city,06000
Newark city,06000
Newman city,06000
Newport Beach city,06000
Norco city,06000
Norwalk city,06000
Novato city,06000
Oakdale city,06000
Oakland city,06000
Oakley city,06000
Oceanside city,06000
Ojai city,06000
Ontario city,06000
Orange city,06000
Orange Cove city,06000
Orinda city,06000
Orland city,06000
Oroville city,06000
Oxnard city,06000
Pacifica city,06000
Pacific Grove city,06000
Palmdale city,06000
Palm Desert city,06000
Palm Springs city,06000
Palo Alto city,06000
Palos Verdes Estates city,06000
Paradise town,06000
Paramount city,06000
Parlier city,06000
Pasadena city,06000
Patterson city,06000
Perris city,06000
Petaluma city,06000
Pico Rivera city,06000
Piedmont city,06000
Pinole city,06000
Pismo Beach city,06000
Pittsburg city,06000
Placentia city,06000
Placerville city,06000
Pleasant Hill city,06000
Pleasanton city,06000
Plymouth city,06000
Point Arena city,06000
Pomona city,06000
Porterville city,06000
Port Hueneme city,06000
Portola city,06000
Portola Valley town,06000
Poway city,06000
Rancho Cordova city,06000
Rancho Cucamonga city,06000
Rancho Mirage city,06000
Rancho Palos Verdes city,06000
Rancho Santa Margarita city,06000
Red Bluff city,06000
Redding city,06000
Redlands city,06000
Redondo Beach city,06000
Redwood City city,06000
Reedley city,06000
Rialto city,06000
Richmond city,06000
Ridgecrest city,06000
Rio Dell city,06000
Rio Vista city,06000
Ripon city,06000
Riverbank city,06000
Riverside city,06000
Rocklin city,06000
Rohnert Park city,06000
Rolling Hills city,06000
Rolling Hills Estates city,06000
Rosemead city,06000
Roseville city,06000
Ross town,06000
Sacramento city,06000
St. Helena city,06000
Salinas city,06000
San Anselmo town,06000
San Bernardino city,06000
San Bruno city,06000
San Buenaventura (Ventura) city,06000
San Carlos city,06000
San Clemente city,06000
Sand City city,06000
San Diego city,06000
San Dimas city,06000
San Fernando city,06000
San Francisco city,06000
San Gabriel city,06000
Sanger city,06000
San Jacinto city,06000
San Joaquin city,06000
San Jose city,06000
San Juan Bautista city,06000
San Juan Capistrano city,06000
San Leandro city,06000
San Luis Obispo city,06000
San Marcos city,06000
San Marino city,06000
San Mateo city,06000
San Pablo city,06000
San Rafael city,06000
San Ramon city,06000
Santa Ana city,06000
Santa Barbara city,06000
Santa Clara city,06000
Santa Clarita city,06000
Santa Cruz city,06000
Santa Fe Springs city,06000
Santa Maria city,06000
Santa Monica city,06000
Santa Paula city,06000
Santa Rosa city,06000
Santee city,06000
Saratoga city,06000
Sausalito city,06000
Scotts Valley city,06000
Seal Beach city,06000
Seaside city,06000
Sebastopol city,06000
Selma city,06000
Shafter city,06000
Shasta Lake city,06000
Sierra Madre city,06000
Signal Hill city,06000
Simi Valley city,06000
Solana Beach city,06000
Soledad city,06000
Solvang city,06000
Sonoma city,06000
Sonora city,06000
South El Monte city,06000
South Gate city,06000
South Lake Tahoe city,06000
South Pasadena city,06000
South San Francisco city,06000
Stanton city,06000
Stockton city,06000
Suisun City city,06000
Sunnyvale city,06000
Susanville city,06000
Sutter Creek city,06000
Taft city,06000
Tehachapi city,06000
Tehama city,06000
Temecula city,06000
Temple City city,06000
Thousand Oaks city,06000
Tiburon town,06000
Torrance city,06000
Tracy city,06000
Trinidad city,06000
Truckee town,06000
Tulare city,06000
Tulelake city,06000
Turlock city,06000
Tustin city,06000
Twentynine Palms city,06000
Ukiah city,06000
Union City city,06000
Upland city,06000
Vacaville city,06000
Vallejo city,06000
Vernon city,06000
Victorville city,06000
Villa Park city,06000
Visalia city,06000
Vista city,06000
Walnut city,06000
Walnut Creek city,06000
Wasco city,06000
Waterford city,06000
Watsonville city,06000
Weed city,06000
West Covina city,06000
West Hollywood city,06000
Westlake Village city,06000
Westminster city,06000
Westmorland city,06000
West Sacramento city,06000
Wheatland city,06000
Whittier city,06000
Wildomar city,06000
Williams city,06000
Willits city,06000
Willows city,06000
Windsor town,06000
Winters city,06000
Woodlake city,06000
Woodland city,06000
Woodside town,06000
Yorba Linda city,06000
Yountville city,06000
Yreka city,06000
Yuba City city,06000
Yucaipa city,06000
Yucca Valley town,06000
